 p avg rmse
0 0.1 40.430315799036464 0.19576174850793454
1 0.1098 40.37025639107457 0.19799485717734813
2 0.1204 39.612439565324586 0.21154526500206708
3 0.132 39.690028345159256 0.20912348951921048
4 0.1446 39.749889996107925 0.20605951426199753
5 0.1586 39.11980791589478 0.21904943356288617
6 0.1738 38.98939329118536 0.2218431104218329
7 0.1906 39.06305482935521 0.2195912760568806
8 0.209 39.06888341056115 0.21965836559978072
9 0.2292 38.918494677570585 0.22248946560850918
10 0.2512 39.24248384862077 0.21604546477638958
11 0.2756 39.063259893500415 0.21991557802751388
12 0.302 39.59841456884972 0.2095101528304619
13 0.3312 39.93284478619043 0.20239814595905353
14 0.3632 40.63702411002308 0.1884013634986155
15 0.3982 41.27783458762549 0.17563938675041896
16 0.4366 42.597797152455676 0.1500870575798326
17 0.4788 43.79498803371104 0.12708771887137804
18 0.525 45.51785635136058 0.25637373696527116
19 0.5756 46.134164499816606 0.13151286395184192
20 0.631 46.449823271958124 0.08675856634794543
21 0.692 47.01892889628917 0.06785581800684969
22 0.7586 47.74759157993055 0.04752842476837154
23 0.8318 48.52289271909367 0.031015890997947146
24 0.9122 49.26904544787829 0.014914608057489391
